Date,Words
2013-09-15,230
2013-09-16,744
2013-10-25,104
2013-10-26,504
2013-10-29,502
2013-10-30,343
2013-10-31,8
2013-11-09,304
2013-11-10,1
2013-11-11,174
2013-11-12,143
2013-11-17,99
2013-12-03,355
2013-12-04,313
2013-12-05,107
2013-12-06,314
2013-12-09,100
2013-12-10,752
2013-12-11,322
2013-12-12,301
2013-12-13,486
2013-12-14,306
2013-12-15,353
2013-12-16,539
2013-12-17,579
2013-12-21,-23
2013-12-22,134
2013-12-23,396
2013-12-24,343
2013-12-25,12
2013-12-27,625
2013-12-28,539
2013-12-29,390
2013-12-30,305
2013-12-31,177
2014-01-01,52
2014-01-02,396
2014-01-03,141
2014-01-04,567
2014-01-05,363
